Player,troop_grade
Airy,G7
Ajay,G7
Aleksander,G6
Analis,G6
Antifa HQ,G7
Antsal,G6
Arean,G7
Ares,G6
Arvid,G8
Aurithris,G7
Aydaen Ftk,G7
Balian,G6
Blaze,G6
Bobel,G6
Bostondave,G6
Burigas,G6
Chieff,G6
Cris Nguyen,G6
Dani Girl From Rio,G7
Dark Dragons,G7
Darloting,G5
Dimas,G9
DisillusionD,G7
Dunasis,G6
Eagle,G7
Elladef,G7
Elneing,G6
Emal,G7
Falcon,G7
Fisterbottom,G7
Frostfont,G8
Gagami,G7
Garvey,G7
Gavilen,G6
Gleison Sp,G8
Glerafan,G6
Glock,
Glufke,G8
Godfather,G7
Goldennet,G7
Graf Von Waldeck,G7
Hugardor,G6
Huzar,G7
Ikadlo,G6
Iron Maiden,G6
Jackie,G6
Kairos,G6
Karczma,G7
Kb Fenix,
Kebrinir,G7
Kelerin,G7
Kratos,G7
Lady Iron,
Lalaton,G7
Landis,G7
Lazito,G7
Lebrimir,G5
Locky Balboa,G6
Maia,G6
Marcio,G6
Mightshaper,G6
Mr Stanly Bowles,G6
Naruto,G6
Niklaus 00,G9
Nimduen,G6
Omelette,G7
Ostar,G6
Padam,G7
Paulie G,G7
Priest Field,G6
QQQ,G6
Railan 2,G7
Rambo,G7
Rayan,G7
Rouge,G7
Saithirus,G6
Sandman,G7
Sardrobert,G8
Serloting,G6
Sharisar,G7
Sharisar,G7
Shinogirl,G6
Shinomen,G7
Skyangel,G7
Sparvenen,G6
Srlanson,G6
Tatiana,G6
Thollador,G7
Timko,G6
Viscius,G7
Vojas,G7
Von Bhatlar,G6
Voneyzz,G7
Vudorr,G6
Vytas,G7
Wacht1,G7
Wicked Witch,G6
Zenia,G7
Zulkis,
Zulkis II,G7
Maverick,
