Player,Score,Result,Level
Mr Stanly Bowles,5908,OK,G6
Niklaus 00,4373,OK,G9
Sardrobert,3998,OK,G8
Omelette,3336,OK,G7
Lazito,3218,OK,G7
Chieff,3163,OK,G6
Kairos,3153,OK,G6
Zulkis,2956,ND,ND
Glufke,2832,OK,G8
Vytas,2791,OK,G7
Ares,2739,OK,G6
Mightshaper,2554,OK,G6
Railan 2,2421,OK,G7
Maia,2320,OK,G6
Dark Dragons,2255,OK,G7
Zenia,2247,OK,G7
Karczma,2212,OK,G7
Antifa HQ,2208,OK,G7
Rayan,2185,OK,G7
Gagami,2156,OK,G7
Glock,2064,ND,ND
Graf Von Waldeck,2040,OK,G7
Thollador,2035,OK,G7
Padam,2033,OK,G7
Darloting,2015,OK,G5
Elladef,1983,OK,G7
Wacht1,1905,OK,G7
Sharisar,1890,OK,G7
Lebrimir,1840,OK,G5
Iron Maiden,1821,OK,G6
Viscius,1811,OK,G7
Huzar,1785,OK,G7
Hugardor,1779,OK,G6
Airy,1775,OK,G7
Saithirus,1772,OK,G6
Rambo,1768,OK,G7
QQQ,1745,OK,G6
Glerafan,1671,OK,G6
Aleksander,1643,OK,G6
Shinomen,1615,NOT MET,G7
Frostfont,1570,NOT MET,G8
Arvid,1554,NOT MET,G8
Priest Field,1545,OK,G6
Bostondave,1540,OK,G6
Analis,1540,OK,G6
Zulkis II,1533,NOT MET,G7
Lalaton,1507,NOT MET,G7
Serloting,1501,OK,G6
Paulie G,1489,NOT MET,G7
Eagle,1470,NOT MET,G7
Aydaen Ftk,1461,NOT MET,G7
Voneyzz,1456,NOT MET,G7
Rouge,1442,NOT MET,G7
Garvey,1435,NOT MET,G7
Timko,1435,OK,G6
Marcio,1425,OK,G6
Blaze,1408,OK,G6
Shinogirl,1404,OK,G6
Landis,1393,NOT MET,G7
Kb Fenix,1390,ND,ND
Aurithris,1385,NOT MET,G7
Ajay,1322,NOT MET,G7
Vudorr,1308,OK,G6
Cris Nguyen,1280,OK,G6
Kelerin,1276,NOT MET,G7
Emal,1265,NOT MET,G7
Goldennet,1224,NOT MET,G7
Lady Iron,1209,ND,ND
Fisterbottom,1205,NOT MET,G7
Godfather,1182,NOT MET,G7
Bobel,1176,OK,G6
Gleison Sp,1151,NOT MET,G8
Antsal,1130,OK,G6
Ikadlo,1126,OK,G6
Kebrinir,1099,NOT MET,G7
Ostar,1090,OK,G6
Dani Girl From Rio,1074,NOT MET,G7
Locky Balboa,1073,OK,G6
Nimduen,1016,NOT MET,G6
Tatiana,981,NOT MET,G6
Dunasis,950,NOT MET,G6
Gavilen,887,NOT MET,G6
Sandman,879,NOT MET,G7
Sparvenen,868,NOT MET,G6
Elneing,852,NOT MET,G6
Balian,775,NOT MET,G6
Jackie,746,NOT MET,G6
Naruto,690,NOT MET,G6
Vojas,650,NOT MET,G7
Kratos,480,NOT MET,G7
Arean,476,NOT MET,G7
Srlanson,443,NOT MET,G6
Dimas,291,NOT MET,G9
Von Bhatlar,280,NOT MET,G6
Wicked Witch,170,NOT MET,G6
Falcon,164,NOT MET,G7
Burigas,101,NOT MET,G6
Skyangel,65,NOT MET,G7
DisillusionD,0,NOT MET,G7
